ird1;T2C1;10.191.5.1;Ateme DR5000;Fly_6;13.0;3.5
ird2;T2C2;10.191.2.2;Ateme DR5000;;0.0;0.0
ird3;SAT-03;10.191.5.3;Ateme DR5000;;0.0;0.0
ird4;SAT-4;10.191.2.4;Tandberg TT1260;;-0.01;0.0
ird5;SAT-5;10.191.5.5;Tandberg TT1260;;-0.01;0.0
ird6;SAT-6;10.191.2.6;Tandberg TT1260;;-0.01;0.0
ird7;SAT-7;10.191.5.7;Tandberg TT1260;;-0.01;0.0
ird8;SAT-8;10.191.2.8;Tandberg TT1260;;-0.01;0.0
ird9;SAT-9;10.191.5.9;Tandberg TT1260;;-0.01;0.0
ird10;SAT-10;10.191.4.10;Tandberg TT1260;Fly_6;13.4;3.6
ird11;SAT 11;10.191.4.11;Ateme DR5000;;0.0;0.0
ird12;SAT-12;10.191.4.12;Ericsson RX1290;Fly_6;13.5;3.7
ird13;SAT 13;10.191.4.13;Ateme DR5000;;0.0;0.0
ird14;SAT 14;10.191.10.14;Ateme DR5000;;0.0;0.0
ird15;SAT 15;10.191.10.15;Ateme DR5000;;0.0;0.0
ird17;SAT-17;;DR8400;;;
ird16;SAT 16;10.191.10.16;Ateme DR5000;;0.0;0.0
ird18;SAT 18;10.191.5.18;Ateme DR5000;;0.0;0.0
ird19;SAT 19;10.191.2.19;Ateme DR5000;;0.0;0.0
ird20;SAT 20;10.191.2.20;Ateme DR5000;Better 1;16.2;9.5
ird21;SAT 21;10.191.5.21;Ateme DR5000;;0.0;0.0
ird22;SAT 22;10.191.5.22;Ateme DR5000;;0.0;0.0
ird23;SAT 23;10.191.4.23;Ateme DR5000;;0.0;0.0
ird24;SAT 24;10.191.4.24;Ateme DR5000;;0.0;0.0
ird25;SAT-25;10.191.2.25;Ericsson RX8200;Fly_6;13.5;04.0
ird26;SAT-26;10.191.4.26;Ericsson RX8200;;--- ;- dB
ird27;SAT-27;10.191.4.27;Ericsson RX8200;;--- ;- dB
ird28;SAT-28;10.191.2.28;Ericsson RX8200;;--- ;- dB
ird29;SAT-29;10.191.2.29;Ericsson RX8200;;--- ;- dB
ird30;SAT-30;10.191.2.30;Ericsson RX8200;;-10.;03.8
ird31;SAT-31;10.191.5.31;Ericsson RX8200;;--- ;- dB
ird32;SAT-32;10.191.5.32;Ericsson RX8200;;--- ;- dB
ird33;SAT-33;10.191.5.33;Ericsson RX8200;;--- ;- dB
ird34;SAT-34;10.191.5.34;Ateme DR5000;;17.0;8.8
ird35;SAT-35 en ASI;10.191.5.35;Ateme DR5000;;0.1;0.1
